iter	Passed	Remaining
745	5989	2039
746	5998	2031
747	6006	2023
748	6015	2015
749	6024	2008
750	6032	2000
751	6041	1992
752	6049	1984
753	6058	1976
754	6067	1968
755	6076	1961
756	6085	1953
757	6094	1945
758	6102	1937
759	6111	1930
760	6120	1922
761	6128	1914
762	6137	1906
763	6145	1898
764	6154	1890
765	6162	1882
766	6170	1874
767	6178	1866
768	6186	1858
769	6194	1850
770	6202	1842
771	6209	1834
772	6218	1825
773	6226	1818
774	6233	1809
775	6241	1801
776	6249	1793
777	6258	1785
778	6267	1778
779	6277	1770
780	6285	1762
781	6293	1754
782	6302	1746
783	6309	1738
784	6317	1730
785	6325	1722
786	6334	1714
787	6341	1706
788	6349	1697
789	6357	1689
790	6366	1682
791	6374	1674
792	6381	1665
793	6390	1657
794	6399	1650
795	6406	1641
796	6413	1633
797	6422	1625
798	6429	1617
799	6436	1609
800	6443	1600
801	6451	1592
802	6457	1584
803	6465	1576
804	6473	1568
805	6481	1560
806	6489	1552
807	6497	1543
808	6505	1535
809	6512	1527
810	6520	1519
811	6527	1511
812	6535	1503
813	6542	1494
814	6549	1486
815	6557	1478
816	6565	1470
817	6572	1462
818	6580	1454
819	6589	1446
820	6597	1438
821	6604	1430
822	6612	1422
823	6619	1413
824	6626	1405
825	6634	1397
826	6642	1389
827	6650	1381
828	6657	1373
829	6664	1365
830	6671	1356
831	6680	1348
832	6690	1341
833	6702	1334
834	6709	1325
835	6718	1317
836	6724	1309
837	6733	1301
838	6740	1293
839	6748	1285
840	6755	1277
841	6763	1269
842	6770	1260
843	6778	1252
844	6785	1244
845	6792	1236
846	6800	1228
847	6807	1220
848	6815	1212
849	6822	1204
850	6830	1195
851	6837	1187
852	6845	1179
853	6852	1171
854	6858	1163
855	6866	1155
856	6873	1146
857	6881	1138
858	6888	1130
859	6896	1122
860	6903	1114
861	6910	1106
862	6918	1098
863	6925	1090
864	6933	1082
865	6940	1073
866	6948	1065
867	6955	1057
868	6963	1049
869	6970	1041
870	6977	1033
871	6985	1025
872	6992	1017
873	6999	1009
874	7007	1001
875	7015	993
876	7022	984
877	7031	977
878	7038	968
879	7047	961
880	7055	952
881	7063	945
882	7071	936
883	7080	929
884	7088	921
885	7096	913
886	7104	905
887	7113	897
888	7120	889
889	7129	881
890	7137	873
891	7145	865
892	7153	857
893	7163	849
894	7171	841
895	7180	833
896	7190	825
897	7199	817
898	7208	809
899	7216	801
900	7224	793
901	7232	785
902	7241	777
903	7249	769
904	7258	761
905	7267	753
906	7292	747
907	7300	739
908	7310	731
909	7319	723
910	7327	715
911	7336	707
912	7345	699
913	7353	691
914	7361	683
915	7370	675
916	7378	667
917	7387	659
918	7396	651
919	7405	643
920	7414	635
921	7423	627
922	7431	619
923	7440	611
924	7448	603
925	7458	596
926	7466	587
927	7476	580
928	7484	572
929	7493	564
930	7502	556
931	7511	548
932	7519	540
933	7527	531
934	7536	523
935	7544	515
936	7553	507
937	7561	499
938	7570	491
939	7578	483
940	7587	475
941	7595	467
942	7604	459
943	7613	451
944	7622	443
945	7630	435
946	7639	427
947	7646	419
948	7653	411
949	7661	403
950	7669	395
951	7677	387
952	7685	379
953	7693	370
954	7701	362
955	7708	354
956	7717	346
957	7725	338
958	7732	330
959	7740	322
960	7748	314
961	7756	306
962	7765	298
963	7773	290
964	7781	282
965	7789	274
966	7796	266
967	7804	258
968	7812	249
969	7820	241
970	7827	233
971	7833	225
972	7841	217
973	7848	209
974	7856	201
975	7864	193
976	7872	185
977	7880	177
978	7888	169
979	7895	161
980	7903	153
981	7909	144
982	7917	136
983	7924	128
984	7931	120
985	7938	112
986	7946	104
987	7954	96
988	7962	88
989	7969	80
990	7986	72
991	7993	64
992	8000	56
993	8008	48
994	8016	40
995	8023	32
996	8030	24
997	8037	16
998	8044	8
999	8051	0
